Row Number (For Sorting),Title,Alt Title,Author,Year,City,City Cleaned,Country,Database,Record Number,Data Entry Event,Coordinates
101,וזאת ליהודא : שחיטות ובדיקות. Ṿe-zot li-Yehuda : sheḥiṭot u-vediḳot.,,"יהודה ליב בן יצחק, דק״ק איידליץ, המאה ה־17. Judah Loew ben Isaac Lipschitz",1698,Fyorda,Furth,,WorldCat,850137826,WorldCat Export V3,"49.477117, 10.988667"
248,Al Shehitot u-vedikot shel haGaon Mahariv ,,"Weil, Jacob b. Judah",1700,Prague,Prague,,BHB,131034,Summer Cataloguing,"50.075538, 14.4378"
139,‏זבחו זבחי צדק :‏ ‏שחיטות ובדיקות /‏ Zivḥu zivḥe tsedeḳ : Sheḥiṭot u-vediḳot,,"ווייל, יעקב בן יהודה, המאה ה-15, מחבר. Jacob ben Judah Weil;  Tsevi Hirsh ben Yitsḥaḳ Yaʿaḳov, of Kraków; Solomon ben Joseph Proops",1701,Amsterdam,Amsterdam,,WorldCat,1130591972,WorldCat Export V3,"52.3702157, 4.8951679"
43,שחיטות ובדיקות," ... עם הגהות והחדושים שליקט ואסף הה""ר צבי בר יצחק ז""ל ...","ווייל, יעקב בן יהודה",1702,אמשטרדם,Amsterdam,,BHB,130983,BHB Export,"52.3702157, 4.8951679"
44,שחיטות ובדיקות," של... ר' יעקב ווייל... עם הגהות והחדושים שליקט ואסף הר""ר צבי בר יצחק זצ""ל... הוגהו... על ידי שוחטים נאמנים וידועים ומומחים.","ווייל, יעקב בן יהודה",1705,דיהרן פארט,Brzeg Dolny,,BHB,313430,BHB Export,"51.272827, 16.708557"
249,Mahadura Batra al Shehitot u-vedikot shel,,"Weil, Jacob b. Judah",1705,Prague,Prague,,BHB,130984,Summer Cataloguing,"50.075538, 14.4378"
45,שחיטות ובדיקות," ... עם הגהות גבול בנימין אשר אסף ... ר' בנימין וואלף בן הקדוש כהר""ר מאיר זצ""ל ווינטרניץ, שוחט ובודק פה ק""ק פראג, שליקט וחיבר כל חידושי דינים והלכות פסוקות מהפוסקים ...","ווייל, יעקב בן יהודה",1707,פראג,Prague,,BHB,130985,BHB Export,"50.075538, 14.4378"
250,Shehitot u-vedikot shel...,,"Weil, Jacob b. Judah",1709,Prague,Prague,,BHB,130986,Summer Cataloguing,"50.075538, 14.4378"
46,שחיטות ובדיקות," ... עם הגהות והחדושים שליקט ואסף הח""ר צבי בר יצחק ז""ל ...","ווייל, יעקב בן יהודה",1712,[הענא?],Hanau,,BHB,130987,BHB Export,"50.126412, 8.92831"
195,שחיטות ובדיקות בקצרה / Sheḥiṭot u-vediḳot bi-ḳtsarah,,"ווייל, יעקב. Jacob ben Judah Weil; Avraham ben Moshe Yeḳutiʼel Ḳoyfman Kats.",1712,Franḳfurṭ de-Mayn,Frankfurt,,WorldCat,1166818300,WorldCat Export V3,"50.1109221, 8.6821267"
263,Shehitot u-vedikot bi-ktsarah,,"Weil, Jacob b Judah",1713,Frankfurt am Main,Frankfurt,,WorldCat,116818300,Summer Cataloguing,"50.1109221, 8.6821267"
47,שחיטות ובדיקות," של מהרי""ו [עיין להלן] והגהות מהרר""ץ [ר' צבי ב""ר יצחק יעקב] עם כל הפוסקים... אשר כבר נדפסו בק""ק לובלין... בשנת תמ""ה ...","שפירא, יעקב בן יצחק",1719,הענא,Hanau,,BHB,171400,BHB Export,"50.126412, 8.92831"
48,שחיטות ובדיקות," ... עם הגהות והחדושים שליקט ואסף ... רבי צבי בר יצחק ז""ל ...","ווייל, יעקב בן יהודה",1720,[פראנקפורט דמיין],Frankfurt,,BHB,130988,BHB Export,"50.1109221, 8.6821267"
50,שחיטות ובדיקות," ... עם הגהות והחדושים שליקט ואסף ... רבי צבי בר יצחק ז""ל ...","ווייל, יעקב בן יהודה",1723,[גרמניה],Germany,,BHB,130992,BHB Export,#N/A
53,שחיטות ובדיקות,עם פירוש עולת יצחק,"ווייל, יעקב בן יהודה",1727,פיורדא,Furth,,BHB,130993,BHB Export,"49.477117, 10.988667"
54,שחיטות ובדיקות," ... עם הגהות גבול ישראל, אשר אסף וקבץ ... ר' יעקב איילונבורג מק""ק קרקא, בעל המחבר ספר תולדות יעקב וספר ישרש יעקב על גפ""ת. וליקט וחיבר כל חידושי דינים ... מפוסקים ראשונים ואחרונים ...","ווייל, יעקב בן יהודה",1728,אמשטרדם,Amsterdam,,BHB,130997,BHB Export,"52.3702157, 4.8951679"
156,שחיטות ובדיקות : של הגאון מהר״י וייל : עמ תוספת פירוש אהל ישראל / Sheḥiṭot u-vediḳot : shel ha-gaʼon MaHaRI Ṿail : ʻim tosfot perush ohel Yiśraʼel,,"וײל, יעקב, בדפיצו 15פט דומפץעש. Jacob ben Judah Weil;  Israel, of Copenhagen.",1732,Ṿanzibeḳ,Vanzibek,,WorldCat,122771470,WorldCat Export V3,#N/A
55,שחיטות ובדיקות," ... עם ... פירוש אהל ישראל, אשר ... חבר ... ר' ישראל זלה""ה שהיה אב""ד בק""ק קאפינהאגין ...","ווייל, יעקב בן יהודה",1733,[גרמניה],Germany,,BHB,130996,BHB Export,#N/A
56,שחיטות ובדיקות," ... עם הגהות גבול בנימין אשר אסף וקבץ ... הר""ר בנימין וואלף ... ווינטרניץ ...","ווייל, יעקב בן יהודה",1733,פראג,Prague,,BHB,130995,BHB Export,"50.075538, 14.4378"
57,שחיטות ובדיקות," ... עם תוספת פירוש אהל ישראל אשר ... חבר ... ר' ישראל זלה""ה שהיה אב""ד בק""ק קאפינהאגין... והובא לבית הדפוס ע""י חתנו ... ר' אברהם בן כהר""ר משה גאשלר ז""ל, ש""ץ ונאמן בק""ק הנובר (המגיה ... הצעיר שבתלמידי הרב המנוח ... משה דוד המכונה טעבלי בא""א כהר""ר חיים קיטן שליט""א ... מק""ק","ווייל, יעקב בן יהודה",1733,קאפינהאגין,Copenhagen,,BHB,130994,BHB Export,#N/A
58,שחיטות ובדיקות," ... עם תוספות פירוש אהל ישראל אשר... חבר... ר' ישראל זלה""ה שהיה אב""ד בק""ק קאפינהאגין יע""א. והובא לבית הדפוס פעם ראשון... בשנת תצ""ג...","ווייל, יעקב בן יהודה",1742,פרנקפורט דאדרא,Frankfurt,,BHB,177801,BHB Export,"50.1109221, 8.6821267"
192,עבודת אהרן דיני שחיטות ובדיקות הריאה ע״פי פוסקים ראשונים ואחרונים. ʻAvodat Aharon : dine sheḥiṭot uve-diḳot ha-reʼah ʻal pi posḳim rishonim ṿe-aḥaronim.,,Aharon Mosheh ben Tsevi Hirsh.,1747,Furth,Furth,,WorldCat,47763184,WorldCat Export V3,"49.477117, 10.988667"
184,Sefer Shehitot. [Regulations for slaughtering.].,,Jacob Weil,1752,Venice,Venice,,WorldCat,78323161,WorldCat Export V3,"45.4408474, 12.3155151"
165,זבח שמואל : על דיני והלכות שחיטות ובדיקות / Zevaḥ Shemuʼel : ʻal dine ṿe-hilkhot sheḥiṭot u-vediḳot.,,"Samuel ben Moses, of Lissa.",1753,Frankfurt,Frankfurt,,WorldCat,122756952,WorldCat Export V3,"50.1109221, 8.6821267"
65,שחיטות ובדיקות,... עם הגהות גבול בנימין ...,"ווייל, יעקב בן יהודה",1763,פראג,Prague,,BHB,131004,BHB Export,"50.075538, 14.4378"
66,שחיטות ובדיקות," ... עם הגהות אמרי טוב אשר אסף וקיבץ ... ר' נתן בהמנוח מהור""ר יום טוב ליפמן ז""ל, שוחט ובודק דק""ק זאלקווא ... נין ונכד להגאון ... בעל תוספות יום טוב ... שליקט וחיבר כל חידושי דינים וגם הלכות פסוקות מהפוסקים ... וגם ... צורות הריאה ...","ווייל, יעקב בן יהודה",1763,זאלקווא,Zhovkva,,BHB,131003,BHB Export,"50.058876, 23.973647"
138,Sheḥitot u-vediḳot shel ... Y. Ṿayl ... ʻim ... perush Ohel Yiśraʼel,,Yaʻaḳov Ben-Yehudah Ṿail; Chajim ben Zebi Hirsch,1767,Furth,Furth,,WorldCat,552409251,WorldCat Export V3,"49.477117, 10.988667"
69,שחיטות ובדיקות," ... עם הגהות והחידושים שליקט ואסף הר""ר צבי בר יצחק זצ""ל ... גם ניתוסף חדושי דינים אליבא דהלכתא מט""ז וש""ך. גם ... היכי תמצא של ליקוטי דינים מספר עולת יצחק.","ווייל, יעקב בן יהודה",1770,זאלקווא,Zhovkva,,BHB,131009,BHB Export,"50.058876, 23.973647"
70,שחיטות ובדיקות," ... עם ... פירוש אהל ישראל אשר ... חבר ... ר' ישראל זלה""ה שהיה אב""ד בק""ק קאפינהאגין ... באותיות אמשטרדם.","ווייל, יעקב בן יהודה",1773,(פיורדא),Furth,,BHB,131010,BHB Export,"49.477117, 10.988667"
99,שאלות ותשובות בדיני שחיטות ובדיקות. Sheʼelot u-teshuvot : be-dine sheḥiṭot u-bediḳot.,,David ben Shelomoh Vital; Hebrew Manuscripts (Columbia University Libraries);,1778,,,France,WorldCat,462112587,WorldCat Export V3,#N/A
73,שחיטות ובדיקות," ... עם הגהות גבול בנימין אשר אסף וקבץ ... ר' בנימין וואלף בן ... כהר""ר מאיר זצ""ל ווינטרניץ ...","ווייל, יעקב בן יהודה",1784,פראג,Prague,,BHB,131012,BHB Export,"50.075538, 14.4378"
95,נחלת זבחי צבי : על שחיטות ובדיקות / Naḥalat zivḥe Tsevi : ʻal sheḥiṭot u-vediḳot,,מאיר צבי הירש בן פסח. Meʼir Tsevi Hirsh ben Pesaḥ.; Jacob ben Judah Weil,1784,Bamberg,Bamberg,,WorldCat,44745298,WorldCat Export V3,"49.890774, 10.882515"
113,נחלת זבחי צבי על שחיטות ובדיקות על שחיטות ובדיקות של ... ווייל Naḥalat zivḥe Tsevi ʻal sheḥiṭot u-vediḳot shel ... Y. Ṿeyl ...,,מאיר צבי הירש בן פסח Meʼir Tsevi Hirsh ben Pesaḥ,1784,Frankfurt am Main,Frankfurt,,WorldCat,174642068,WorldCat Export V3,"50.1109221, 8.6821267"
142,ספר זבחי שלמים : הלכות שחיטות ובדיקות ... \ Sefer Zivḥe shelamim : hilkhot sheḥiṭot u-vediḳot ...,,Yaʻaḳov ben Ḥanokh Bak; Yozef Ḳarl Nayman,1794,Brno,Brno,,WorldCat,502437187,WorldCat Export V3,"49.19506, 16.606837"
173,זבח שמואל : על דיני והלכות שחיטות ובדיקות מהגאון מהרי״ו. Zevaḥ Shemuʼel : ʻal dine ṿe-hilkhot sheḥiṭot u-vediḳot ...,,"Samuel ben Moses, of Lissa.; Jacob ben Judah Weil",1794,Dubno,Dubno,,WorldCat,122864290,WorldCat Export V3,"50.41694, 25.73432"
75,שחיטות ובדיקות," ... עם הגהות וחידושים שליקט ואסף הר""ר צבי בר יצחק זצ""ל ... גם נתוסף חדושי דינים אליבא דהלכתא מט""ז וש""ך. גם ... ה""ת [היכא תמצא] של ליקוטי דינים מספר עולת יצחק.","ווייל, יעקב בן יהודה",1795,לבוב,Lvov,,BHB,131014,BHB Export,"49.839683, 24.029717"
118,Sefer Gerushin : u-maśaʼo u-matano be-ḥidushim u-feshaṭim,,Moses ben Jacob Cordovero;  Daṿid ibn Hin; Joseph ben Abraham Gikatilla; Jacob ben Judah Weil,1795,Shḳloṿ,Shkloŭ,,WorldCat,54743540,WorldCat Export V3,"54.219041, 30.277746"
77,שחיטות ובדיקות," ... עם הגהות גבול בנימין אשר אסף וקבץ ... ר' בנימין וואלף בן ... כהר""ר מאי[ר] זצ""ל ווינטרניץ ...","ווייל, יעקב בן יהודה",1796,ווין,Wien,,BHB,131015,BHB Export,#N/A
116,ספר זבח שמואל : על דרכי והלכות שחיטות ובדיקות ... סדר ניקור ... של בעל העיטור ... / Sefer zevaḥ Shemuʼel : ʻal darkhe ṿe-hilkhot sheḥiṭot u-bediḳot ... seder niḳur ... shel ... paʻal ha-ʻiṭur ...,,"Samuel ben Moses, of Lissa.;  Bezalel ben Moses, ha-Kohen;  Isaac ben Abba Mari",1796,Noṿi Dṿohr,Grodno,,WorldCat,122751495,WorldCat Export V3,"53.6694, 23.8131"
176,ס׳ זבח שמואל : על דיני הלכות ש״וב מהגאון מהרי״ו. Sever Zevaḥ Shemuʼel : ʻal dine hilkhot Sh. u-v. ...,,"Samuel ben Moses, of Lissa.; Jacob ben Judah Weil",1796,Lemberg,Lvov,,WorldCat,122751854,WorldCat Export V3,"49.839683, 24.029717"
78,שחיטות ובדיקות,... עם הגהות גבול ישראל אשר אסף וקבץ ... ר' יעקב איילונבורג ... מפוסקים ראשונים ואחרונים ...,"ווייל, יעקב בן יהודה",1800,אמשטרדם,Amsterdam,,BHB,131017,BHB Export,"52.3702157, 4.8951679"
198,"שחיטות ובדיקות, בעברית וביידית. Sheḥiṭot u-vediḳot, be-ʻIvrit uve-Yidit.",,Jacob ben Judah Weil; Jewish Theological Seminary of America. Library.,1800,,,,WorldCat,825071902,WorldCat Export V3,#N/A
134,Ḳitsur Sheḥiṭot u-vediḳot la-ḥazor kol [30] yom.,,,1801,,,,WorldCat,959581422,WorldCat Export V3,#N/A
123,‏ספר ימין משה :‏ ‏אשר חיבר החכם השלם ... משה בן החכם יוסף וינטורה מטיבולי ... והם הגהות על השלחן ערוך מהלכות שחיטות ובדיקות וטריפות ... Sefer Yemin Mosheh : asher ḥiber he-ḥakham ha-shalem ... Mosheh ben he-ḥakham ... Yosef Ṿenṭurah mi-Tivoli ... ṿe-hem hagahot ʻal ha-shulḥan arukh me-hilkhot sheḥitot u-vediḳot u-ṭerefot ...,,Mosheh ben Yosef Ṿenṭurah; Moses ben Israel Isserles; Israel ben Moses Najara; David ben Solomon Vital,1803,,,Yemen,WorldCat,123076471,WorldCat Export V3,#N/A
188,Sefer shehitot u-bedikot [manuscript],,Hebrew Manuscripts (Columbia University. Libraries);,1804,Manuta,Mantua,Italy,WorldCat,1050594315,WorldCat Export V3,"45.1564168, 10.7913751"
79,שחיטות ובדיקות,... עם הגהות גבול ישראל אשר אסף וקבץ ... ר' יעקב איילונבורג ...,"ווייל, יעקב בן יהודה",1805,באסעל,Basel,,BHB,131021,BHB Export,"47.559599, 7.588576"
80,שחיטות ובדיקות,... עם הגהות גבול בנימין אשר אסף וקבץ... ר' בנימן וואלף... ווינטרניץ...,"ווייל, יעקב בן יהודה",1806,ווין,Wien,,BHB,302002,BHB Export,#N/A
168,לקוטי בנימן : שחיטות ובדיקות ... בקיצורי דינים / Liḳuṭe Binyamin : sheḥiṭot u-vediḳot ... be-ḳitsure dinim,,"פרנקפורט, בנימין בן צבי. Benjamin ben Tsebi Frankfurt; Jacob ben Judah Weil",1806,Linevil,Lunéville,,WorldCat,774706622,WorldCat Export V3,"48.592237, 6.492339"
114,לקוטי בנימין : שחיטות ובדיקות. Liḳuṭe Binyamin : sheḥiṭot u-vediḳot.,,Benjamin ben Tsebi Frankfurt,1807,Luneville,Lunéville,,WorldCat,1064871876,WorldCat Export V3,"48.592237, 6.492339"
81,שחיטות ובדיקות," ... עם הגהות גבול בנימין אשר אסף וקבץ ... הר""ר בנימן וואלף בן הקדוש כהר""ר מאיר זצ""ל ווינטרניץ ...","ווייל, יעקב בן יהודה",1810,ווין,Wien,,BHB,131022,BHB Export,#N/A
83,שחיטות ובדיקות," ... עם הגהות גבול בנימין אשר אסף וקבץ ... בנימן וואלף בן ... ר' מאיר זצ""ל ווינטרניץ ...","ווייל, יעקב בן יהודה",1816,ווין,Wien,,BHB,131024,BHB Export,#N/A
84,שחיטות ובדיקות," ... עם הגהות גבול בנימין, אשר אסף ... ר' בנימן וואלף בן ... ר' מאיר זצ""ל ווינטרניץ ... הוגה ונוסיף [!] בדינים ע""י ... מוה' עזריאל ברילל, דיין ומשגיח בק""ק פעסט ...","ווייל, יעקב בן יהודה",1820,אפען,Budapest,,BHB,131025,BHB Export,"47.49835, 19.04045"
85,שחיטות ובדיקות,... עם הגהות גבול ישראל אשר אסף וקבץ ... ר' יעקב איילונבורג ...,"ווייל, יעקב בן יהודה",1821,קארלסרוא,Karlsruhe ,,BHB,131028,BHB Export,"49.00689, 8.403653"
86,שחיטות ובדיקות," ... עם הגהות גבול בנימין אשר אסף וקבץ ... ר' בנימן וואלף בן ... ר' מאיר זצ""ל ווינטרניץ ...","ווייל, יעקב בן יהודה",1824,ווין,Wien,,BHB,131030,BHB Export,#N/A
92,‏קיצור אהל יצחק :‏ ‏על דיני שחיתות ובדיקות. Ḳitsur Ohel Yitsḥaḳ : ʻal dine sheḥitot u-vediḳot.,,"Yitsḥaḳ, Baʻal ha-meḥaber Sefer Ohel Yitsḥaḳ.",1826,Ofen,Budapest,,WorldCat,61248164,WorldCat Export V3,"47.49835, 19.04045"
150,ספר אהל יצחק : על דיני שחיטות ובדיקות. Sefer Ohel Yitsḥaḳ : ʻal dine sheḥiṭot u-vediḳot.,,"Yitsḥaḳ, Baʻal ha-meḥaber Sefer Ohel Yitsḥaḳ.",1827,Sudilkov,Sudilkov,,WorldCat,122752962,WorldCat Export V3,"50.17319, 27.14619"
87,שחיטות ובדיקות,... עם הגהות גבול ישראל אשר אסף וקבץ ... ר' יעקב איילונבורג ...,"ווייל, יעקב בן יהודה",1828,באסעל,Basel,,BHB,131031,BHB Export,"47.559599, 7.588576"
107,Sefer Ohel Yitsḥak : ... ʻal dine sheḥitot u-vediḳot ke-fi asher sider ... Yaʻaḳov Ṿeil,,"Yitsḥaḳ, Baʻal ha-meḥaber Sefer Ohel Yitsḥaḳ.",1830,Vilna,Vilna,,WorldCat,936657560,WorldCat Export V3,"54.687156, 25.279651"
124,Tsofnat paʻneaḥ : dine sheḥiṭot u-vediḳot ha-reʼah u-vediḳat ha-sakin ...,,Yosef ben Shelomoh Finkelstein,1834,Pesṭ,Budapest,,WorldCat,28765677,WorldCat Export V3,"47.49835, 19.04045"
170,שחיטות ובדיקות / Sheḥiṭot u-vediḳot,,"ווייל, יעקב בן יהודה, המאה ה־15. Jacob ben Judah Weil; Jacob ben Hayyim Eilenburg",1837,Karlsru,Karlsruhe ,,WorldCat,703674078,WorldCat Export V3,"49.00689, 8.403653"
136,ספר זבחי שלמים : כולל הלכות שחיטות ובדיקות ... Sefer Zivḥe shelamim : kolel hilkhot sheḥitot u-vediḳot ...,,Jakob Beck; Jacob ben Judah Weil,1839,Wien,Vienna,,WorldCat,778249599,WorldCat Export V3,"48.208174, 16.373819"
127,Lekitat Yitshak Sefer lekitat Yitshak al dine shehitat ofot (...) va-yusam lifnehem pesak halakha (...) lifne daat ha-Pri megadim ve-Simla hadasha ve-kede she-kol shohet be-khol et yukhal lehahzir ota (...).,,Jichak ben Eliezer of Munkács,1843,Löwy,Lowy,,WorldCat,1087610428,WorldCat Export V3,#N/A
141,Tsofnat Paʻneaḥ : dine sheḥiṭot u-vediḳot ha-reʼah u-vediḳot ha-sakin,,Yosef ben Shelomoh Finḳelshṭein,1844,Pest,Budapest,,WorldCat,35730511,WorldCat Export V3,"47.49835, 19.04045"
157,ספר צפנת פענח : דיני שחיטות ובדיקות הריאה ובדיקות הסכין / Sefer Tsafnat paʻneaḥ : dine sheḥiṭot u-vediḳot ha-reʼah u-vediḳot ha-sakin,,Yosef Finḳelshṭain,1845,Pest,Budapest,,WorldCat,500102531,WorldCat Export V3,"47.49835, 19.04045"
196,"ספר החיים : כשמו כן הוא נותנת עוז וממשלת חיים הנצחיים ... יורה הדרך אשר ילך בה האדם קודם שיחטא ולאחר שחטא, גם שאר הנהגת האדם ... בתורה ובעבודה ובגמילות חסדים / Sefer ha-ḥayim : keshemo khen hu notenet ʻoz u-memshelet ḥayim ḥanitsḥiyim ...",,Ḥayyim ben Bezalel,1847,Lemberg,Lvov,,WorldCat,122880453,WorldCat Export V3,"49.839683, 24.029717"
30,שחיטות ובדיקות," ... עם הגהות והחדושים שליקט ואסף הר""ר צבי בר' יצחק ז""ל ...","ווייל, יעקב בן יהודה",1674,ווילהרמרש דארף,,,BHB,130977,BHB Export,#N/A
287,Shehitot u-vedikot,Sheʼelot u-teshuvot ṿe-hilkhot sheḥiṭah u-vediḳah : ṿe-ḥidushe dinin,"Weil, Jacob b. Judah",1834,Kopys,,,WorldCat,1049745072,Summer Cataloguing,#N/A
100,"סקירה על הלכות שחיטה ובדיקה ביידית בצורת שאלות ותשובות. שחיטות ובדיקות / של מוהר""ר יעקב ווייל ; עם הגהות וחדושים שליקט הר""ר צבי בר יצחק. Seḳirah ʻal hilkhot sheḥiṭah u-vediḳah be-Yidit be-tsurat Sheʼelot u-teshuvot. Sheḥiṭot u-vediḳot",,Tsevi bar Yitsḥaḳ.; Jacob ben Judah Weil; Jewish Theological Seminary of America. Library.;,,,,,WorldCat,809562938,WorldCat Export V3,#N/A
105,ספר טוב רואי : הוא קצת פירוש על שחיטות ובדיקות הגאון ... יעקב ווייל ... ואחריו ספר מגדול דוד ... על פי סדר הפרשיות ... /,,"גרינהוט, דוד בן נתן, המאה ה-17 ;",,,,,WorldCat,754758166,WorldCat Export V3,#N/A
112,Ohel Yitsḥaḳ ha-shalem : ʻal dine sheḥiṭot u-vediḳot lefi daʻat P'M ...,,"Yitsḥaḳ, Baʻal ha-meḥaber Sefer Ohel Yitsḥaḳ.",,Varsha,Varsha,,WorldCat,39010153,WorldCat Export V3,#N/A
119,Miscellany of texts on ritual slaughtering,,,,,,,WorldCat,1006384616,WorldCat Export V3,#N/A
135,הלכות שחיטה Hilkhot sheḥiṭah.,,"Merad ben Yitsḥaḳ, ha-mevaḳer.; Shemuʼel.; Hebrew Manuscripts (Columbia University Libraries);",,,,,WorldCat,641241629,WorldCat Export V3,#N/A
144,שחיטות / Sheḥiṭot.,,"Jacob ben Judah Weil;  Tsevi Hirsh ben Yitsḥaḳ, mi-Ḳraḳo.",,,,,WorldCat,841505134,WorldCat Export V3,#N/A
149,סדר שחיטות : Seder sheḥiṭot,,Samuel ben Moses Zarfati;,,Venitsi'ah,Venice,,WorldCat,122811801,WorldCat Export V3,"45.4408474, 12.3155151"
160,"Bet ha-keneset ṿe-hilkhot sheḥiṭot u-veriḳot bi-leshon Ashkenaz : das ist, Kurtze Beschreibung einer Judischen Synagoge : nebst einem Anhang von Schächten und visitiren, aus dem Rabbinischen in Hochteutscher Sprache übergesetzet und heraus gegeben",,Moritz Wilhelm Christiani,,Bermen,Bermen,,WorldCat,43360963,WorldCat Export V3,"53.073635, 8.806422"
197,Sheḥiṭot u-vedîḳot.,,Samuel Issachar Eibenschütz; Yaʻaḳov Ben-Yehudah Ṿail;,,,,,WorldCat,713559144,WorldCat Export V3,#N/A
