Row Number (For Sorting),Title,Alt Title,Author,Year,City,City Cleaned,Country,Database,Record Number,Data Entry Event,Coordinates
94,ימין משה : ... והם הגהות על הש״ע מהלכות שחיטות ובדיקות וטריפות ... / Yemin Mosheh : ... ṿe-hem ḥagahot ʻal ha-Sh. ʻa. me-Hilkhot sheḥitot u-bediḳot u-ṭerefot ...,,Mosheh ben Yosef Ṿenṭurah; Moses ben Israel Isserles,1624,Mantubah,Mantua,,WorldCat,123019885,WorldCat Export V3,"45.1564168, 10.7913751"
117,זבח טוב Zevah tov.,,Liebermann b. Joseph.; Jacob ben Judah Weil,1628,Prag,Prague,,WorldCat,122984191,WorldCat Export V3,"50.075538, 14.4378"
13,שחיטות ובדיקות," ... גם הגהו' החדשים שליקט ואסף הר""ר צבי בר יצחק יעקב ז""ל ... והוגה אות באות על פי ... ר' משה איסרליס ז""ל. וגם מה שהוסיף הגאון [רמ""א] תמצא.","ווייל, יעקב בן יהודה",1631,קראקא,Krakow,,BHB,334777,BHB Export,"50.06465, 19.94498"
14,שחיטות ובדיקות," ... גם הגהות החדשו' שליקט ואסף הר""ר צבי בר יצחק יעקב ז""ל ... והוגה אות באות על פי ... ר' משה איסרליס ז""ל. וגם מה שהוסיף הגאון [רמ""א] תמצא.","ווייל, יעקב בן יהודה",1634,קראקא,Krakow,,BHB,130972,BHB Export,"50.06465, 19.94498"
15,שחיטות ובדיקות," ... גם הגהות החדשים שליקט ואסף הר""ר צבי בר יצחק יעקב ז""ל ... והוגה אות באות על פי ... ר' משה איסרליס ז""ל. וגם מה שהוסיף הגאון [רמ""א] תמצא...","ווייל, יעקב בן יהודה",1637,קראקא,Krakow,,BHB,333427,BHB Export,"50.06465, 19.94498"
16,שחיטות ובדיקות," של הגאון מהר""ר יעקב ווייל ז""ל, גם הגהות החדשים שליקט ואסף הר""ר צבי בר יצחק יעקב ז""ל, ממה שבא לידו... והוגה... על פי... ר' משה איסרלס ז""ל. וגם מה שהוסיף הגאון תמצא...","ווייל, יעקב בן יהודה",1645,קראקא,Krakow,,BHB,333411,BHB Export,"50.06465, 19.94498"
167,Zivḥe Ṭoviyah,,"Ṭoviyah Guṭman, mi-Lisa.; Jacob ben Judah Weil",1682,Amśṭerdam,Amsterdam,,WorldCat,63062525,WorldCat Export V3,"52.3702157, 4.8951679"
37,שחיטות ובדיקות.," ... עם הגהות והחדושים שליקט ואסף הר""ר צבי ז""ל בר יצחק יעקב ז""ל... והוגהו... ע""י... ר' משלם זלמן בן הר""ר אברהם ברך זצ""ל מק""ק גוריציאה ממגורשי וינא.","ווייל, יעקב בן יהודה",1685,אמשטרדם.,Amsterdam,,BHB,301997,BHB Export,"52.3702157, 4.8951679"
38,שחיטות ובדיקות," ... עם הגהות והחדושים שליקט ואסף הח""ר צבי בר יצחק ז""ל ...","ווייל, יעקב בן יהודה",1690,פרנקפורט דמיין,Frankfurt,,BHB,130980,BHB Export,"50.1109221, 8.6821267"
39,שחיטות ובדיקות," ... עם הגהות ישנים גם חדשים שלקט ואסף... ר' (קיים) קדיש (במהור""ר שלמה זלמן מלונטשץ) ר""מ ואב""ד דק""ק סמטיר מספרי פוסקים קדמאי ובתראי.","ווייל, יעקב בן יהודה",1691,פרנקפורט דאדרה,Frankfurt,,BHB,301998,BHB Export,"50.1109221, 8.6821267"
