"OCLC #", "Title", "Author", "Language", "Item type", "Publication", "Publisher", "Database", "Notes", "Added date"
"122751495","ספר זבח שמואל : על דרכי והלכות שחיטות ובדיקות ... סדר ניקור ... של בעל העיטור ... / Sefer zevaḥ Shemuʼel : ʻal darkhe ṿe-hilkhot sheḥiṭot u-bediḳot ... seder niḳur ... shel ... paʻal ha-ʻiṭur ...","Samuel ben Moses, of Lissa.;  Bezalel ben Moses, ha-Kohen;  Isaac ben Abba Mari","Hebrew","book_printbook","","[חמו״ל], Noṿi Dṿohr : [Ḥ. mo-l.], 556 [1796]","","","2021-10-26 18:13"
"122984191","זבח טוב Zevah tov.","Liebermann b. Joseph.; Jacob ben Judah Weil","Yiddish","book_mic","","Prag : [publisher not identified], 1628]","","","2021-10-26 18:13"
"54743540","Sefer Gerushin : u-maśaʼo u-matano be-ḥidushim u-feshaṭim","Moses ben Jacob Cordovero;  Daṿid ibn Hin; Joseph ben Abraham Gikatilla; Jacob ben Judah Weil","Hebrew","book_printbook","","Shḳloṿ : [Ḥ. mo. l.], [1795 or 1796]","","","2021-10-26 18:13"
"1006384616","Miscellany of texts on ritual slaughtering","","Hebrew","book_mss","","[Place of publication not identified], [18--?]","","","2021-10-26 18:13"
"1037596845","זבח שמואל : על דיני והלכות שחיטות ובדיקות מהרי״ו. Zevaḥ Shemuʼel : ʻal dine ṿe-hilkhot sheḥiṭot u-vediḳot Mahariṿ.","Samuel ben Moses, of Lissa.; Jacob ben Judah Weil","Hebrew","book_printbook","","בדפוס מנחם מן [בן] ברוך ושמחה זימל [בן] מנחם נחום, Ṿilna ; Horodno : Bi-defus Menaḥem Man [ben] Barukh ṿe-Śimḥah Zimel [ben] Menaḥem Naḥum, 579 [1819]","","","2021-10-26 18:13"
"254504502","Sheḥiṭot u-bediḳot [Über Schlachten und Besichtigung mit den Noten des Elia b. Mordechae]","Yaʻaḳov Weil","German","book_printbook","","Zolkiew 527 (1767)","","","2021-10-26 18:13"
"122830599","גרושין : ומשאו ומתנו בחידושים ופשטים / Gerushin : u-maśaʼo u-matano be-ḥidushim u-feshaṭim","קורדובירו, משה בן יעקב, 1522־1570. Moses ben Jacob Cordovero; David Hin; Joseph Gikatilla; Jacob Weil","Hebrew","book_printbook","","[Venice] : [publisher not identified], [1600?]","","","2021-10-26 18:13"
"123076471","‏ספר ימין משה :‏ ‏אשר חיבר החכם השלם ... משה בן החכם יוסף וינטורה מטיבולי ... והם הגהות על השלחן ערוך מהלכות שחיטות ובדיקות וטריפות ... Sefer Yemin Mosheh : asher ḥiber he-ḥakham ha-shalem ... Mosheh ben he-ḥakham ... Yosef Ṿenṭurah mi-Tivoli ... ṿe-hem hagahot ʻal ha-shulḥan arukh me-hilkhot sheḥitot u-vediḳot u-ṭerefot ...","Mosheh ben Yosef Ṿenṭurah; Moses ben Israel Isserles; Israel ben Moses Najara; David ben Solomon Vital","Hebrew","book_printbook","","Yemen, 1803.","","","2021-10-26 18:13"
"28765677","Tsofnat paʻneaḥ : dine sheḥiṭot u-vediḳot ha-reʼah u-vediḳat ha-sakin ...","Yosef ben Shelomoh Finkelstein","Hebrew","book_printbook","","Pesṭ : Ferlag bay ... Itsiḳ Rashpits oder Naṭhan, 594 [1834 or 1835]","","","2021-10-26 18:13"
"39527055","Zivḥe shelamim : kolel hilkhot sheḥiṭot u-vediḳot","Jakob Beck; I. Edward Kiev Judaica Collection.","Hebrew","book_printbook","","Wien : Gedruckt bey Anton Edlen von Schmid, k.k. priv. Buchdrucker, 1827.","","","2021-10-26 18:13"
